Seed|Collisions|Spread|Total
0|1255668|1016317.44284|2271985.44284
1|1255415|1016694.72698|2272109.72698
2|1257356|1017597.05539|2274953.05539
3|1256652|1017408.23821|2274060.23821
4|1256823|1017392.09577|2274215.09577
5|1256094|1016366.38490|2272460.38490
6|1256064|1018137.57284|2274201.57284
7|1256841|1017320.12286|2274161.12286
8|1255048|1015884.61996|2270932.61996
9|1255781|1016143.42464|2271924.42464
10|1257726|1018179.90989|2275905.90989
11|1256221|1016282.22357|2272503.22357
12|1257432|1017442.79024|2274874.79024
13|1257105|1018666.27070|2275771.27070
14|1256614|1017449.23189|2274063.23189
15|1256155|1016946.58188|2273101.58188
16|1257291|1017578.04926|2274869.04926
17|1255903|1017172.63697|2273075.63697
18|1256233|1018185.43055|2274418.43055
19|1255362|1018233.89153|2273595.89153
20|1256348|1017338.36325|2273686.36325
21|1256818|1018056.22406|2274874.22406
22|1256713|1018217.35550|2274930.35550
23|1256375|1017623.47001|2273998.47001
24|1255615|1017085.66201|2272700.66201
25|1255360|1015265.62322|2270625.62322
26|1255166|1015885.64255|2271051.64255
27|1254269|1014989.89184|2269258.89184
28|1255609|1015425.39920|2271034.39920
29|1254363|1014140.63728|2268503.63728
30|1254629|1015284.86919|2269913.86919
31|1254256|1013605.63540|2267861.63540
32|1254717|1015023.84792|2269740.84792
33|1254365|1015082.85783|2269447.85783
34|1255602|1017372.68415|2272974.68415
35|1255041|1015157.54442|2270198.54442
36|1255862|1015692.32468|2271554.32468
37|1255532|1016099.40640|2271631.40640
38|1254596|1016058.97881|2270654.97881
39|1255693|1016339.43182|2272032.43182
40|1255747|1017794.75876|2273541.75876
41|1255243|1015921.61503|2271164.61503
42|1253908|1014950.99159|2268858.99159
43|1255850|1017147.70117|2272997.70117
44|1255032|1015903.67826|2270935.67826
45|1256029|1017077.41438|2273106.41438
46|1255145|1016823.73193|2271968.73193
47|1255010|1015266.66498|2270276.66498
48|1255711|1014659.17283|2270370.17283
49|1254202|1014619.91161|2268821.91161
50|1254919|1015683.76294|2270602.76294
51|1255088|1015745.83452|2270833.83452
52|1255645|1015999.46632|2271644.46632
53|1255288|1015074.65518|2270362.65518
54|1255727|1016126.28981|2271853.28981
55|1256760|1016810.95903|2273570.95903
56|1256329|1015526.96714|2271855.96714
57|1254967|1014525.52452|2269492.52452
58|1255894|1016196.49812|2272090.49812
59|1255991|1016051.32853|2272042.32853
60|1255229|1016453.82023|2271682.82023
61|1256073|1016435.30265|2272508.30265
62|1255032|1015888.73267|2270920.73267
